prvenstvo,zmagovalec 
South African Drivers Championship,John Love
NASCAR Grand National,David Pearson
Chris Amon,Bruce McLaren
NASCAR Grand National,Tiny Lund
F1 World Championship,John Surtees
USAC National Championship,Mario Andretti
NASCAR Grand National,Richard Petty
NASCAR Grand National,David Pearson
USAC National Championship,Mario Andretti
Jo Bonnier,Phil Hill
Non-championship,Dave Charlton
NASCAR Grand National,Elmo Langley
NASCAR Grand National,David Pearson
USAC National Championship,Graham Hill
Autocar British F2 Championship,Jack Brabham
NASCAR Grand National,David Pearson
South African Drivers Championship,John Love
F1 World Championship,Jackie Stewart
Michael Parkes,Ludovico Scarfiotti
Marvin Panch,Richard Petty
NASCAR Grand National,David Pearson
Non-championship,Jack Brabham
NASCAR Grand National,Darel Dieringer
NASCAR Grand National,Richard Petty
Willy Mairesse,Herbert Muller
NASCAR Grand National,Richard Petty
Non-championship,John Surtees
NASCAR Grand National,Richard Petty
Michael Parkes,John Surtees
USAC National Championship,Rodger Ward
NASCAR Grand National,Jim Paschal
NASCAR Grand National,Jim Paschal
South African Drivers Championship,John Love
NASCAR Grand National,David Pearson
Autocar British F2 Championship,Jack Brabham
NASCAR Grand National,David Pearson
NASCAR Grand National,David Pearson
NASCAR Grand National,David Pearson
Autocar British F2 Championship,Ni zmagovalca
NASCAR Grand National,Jim Hurtubise
Ken Miles,Lloyd Ruby
USAC National Championship,Jim McElreath
NASCAR Grand National,Dick Hutcherson
NASCAR Grand National,Paul Goldsmith
Tasman Cup,Jackie Stewart
South African Drivers Championship,John Love
Tasman Cup,Jackie Stewart
NASCAR Grand National,Richard Petty
NASCAR Grand National,Paul Goldsmith
NASCAR Grand National,Earl Balmer
Tasman Cup,Graham Hill
Tasman Cup,Jim Clark
Temporada F3 Championship,Eric Offenstadt
Temporada F3 Championship,Charles Crichton-Stuart
Ken Miles,Lloyd Ruby
Temporada F3 Championship,Silvio Moser
Tasman Cup,Jackie Stewart
NASCAR Grand National,Dan Gurney
Temporada F3 Championship,Chris Irwin
Tasman Cup,Jackie Stewart
Tasman Cup,Richard Attwood
Tasman Cup,Graham Hill
South African Drivers Championship,John Love
South African Drivers Championship,Mike Spence
South African Drivers Championship,Jack Brabham
Non-championship,John MacDonald
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Curtis Turner
F1 World Championship,Richie Ginther
USAC National Championship,Don Branson
NASCAR Grand National,Dick Hutcherson
NASCAR Grand National,Fred Lorenzen
South African Drivers Championship,John Love
F1 World Championship,Graham Hill
NASCAR Grand National,Junior Johnson
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Junior Johnson
USAC National Championship,AJ Foyt jr
NASCAR Grand National,David Pearson
Autocar British F2 Championship,John Surtees
NASCAR Grand National,Richard Petty
NASCAR Grand National,Dick Hutcherson
F1 World Championship,Jackie Stewart
NASCAR Grand National,Richard Petty
USAC National Championship,Don Branson
NASCAR Grand National,Ned Jarrett
South African Drivers Championship,John Love
Autocar British F2 Championship,Jim Clark
NASCAR Grand National,Junior Johnson
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Dick Hutcherson
USAC National Championship,Gordon Johncock
USAC National Championship,AJ Foyt jr
South African Drivers Championship,John Love
NASCAR Grand National,David Pearson
Non-championship,Jo Siffert
NASCAR Grand National,Dick Hutcherson
USAC National Championship,Joe Leonard
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Dick Hutcherson
USAC National Championship,Jim McElreath
NASCAR Grand National,Richard Petty
South African Drivers Championship,John Love
NASCAR Grand National,Ned Jarrett
F1 World Championship,Jim Clark
USAC National Championship,Johnny Rutherford
NASCAR Grand National,Richard Petty
USAC National Championship,Mario Andretti
NASCAR Grand National,Ned Jarrett
F1 World Championship,Jim Clark
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Marvin Panch
NASCAR Grand National,Marvin Panch
South African Drivers Championship,John Love
F1 World Championship,Jim Clark
NASCAR Grand National,Junior Johnson
NASCAR Grand National,Junior Johnson
USAC National Championship,Al Unser
NASCAR Grand National,AJ Foyt jr
Jean Guichet,Pedro Rodriguez
F1 World Championship,Jim Clark
NASCAR Grand National,Cale Yarborough
South African Drivers Championship,John Love
NASCAR Grand National,Dick Hutcherson
USAC National Championship,Jim McElreath
Jochen Rindt,Ed Hugus
NASCAR Grand National,Dick Hutcherson
F1 World Championship,Jim Clark
NASCAR Grand National,Marvin Panch
Autocar British F2 Championship,Jim Clark
USAC National Championship,Parnelli Jones
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Dick Hutcherson
USAC National Championship,Jim Clark
F1 World Championship,Graham Hill
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Junior Johnson
South African Drivers Championship,John Love
NASCAR Grand National,Ned Jarrett
Ludovico Scarfiotti,John Surtees
NASCAR Grand National,Fred Lorenzen
International Championship of Makes,Willy Mairesse
NASCAR Grand National,Junior Johnson
Non-championship,Jackie Stewart
NASCAR Grand National,Junior Johnson
NASCAR Grand National,Ned Jarrett
Lorenzo Bandini,Nino Vaccarella
NASCAR Grand National,Junior Johnson
Junior Johnson,Fred Lorenzen
International Championship of Makes,Denny Hulme
NASCAR Grand National,Tiny Lund
USAC National Championship,Jim McElreath
Jean Guichet,Michael Parkes
NASCAR Grand National,Fred Lorenzen
South African Drivers Championship,John Love
Non-championship,Jim Clark
NASCAR Grand National,Junior Johnson
NASCAR Grand National,Dick Hutcherson
AJ Foyt jr,Marvin Panch
Autocar British F2 Championship,Graham Hill
Non-championship,Jim Clark
Autocar British F2 Championship,Denny Hulme
USAC National Championship,Don Branson
Jim Hall,Hap Sharp
Autocar British F2 Championship,Ni zmagovalca
NASCAR Grand National,Ned Jarrett
Non-championship,Mike Spence
NASCAR Grand National,Junior Johnson
Tasman Cup,Jim Clark
South African Drivers Championship,John Love
Tasman Cup,Bruce McLaren
Ken Miles,Lloyd Ruby
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Ned Jarrett
Tasman Cup,Jack Brabham
NASCAR Grand National,Fred Lorenzen
Tasman Cup,Jim Clark
NASCAR Grand National,Darel Dieringer
NASCAR Grand National,Junior Johnson
Tasman Cup,Jim Clark
Tasman Cup,Jim Clark
NASCAR Grand National,Dan Gurney
Tasman Cup,Jim Clark
Tasman Cup,Graham Hill
South African Drivers Championship,John Love
F1 World Championship,Jim Clark
South African Drivers Championship,Graham Hill
Non-championship,Paul Hawkins
USAC National Championship,Lloyd Ruby
Non-championship,Albert Poon
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Darel Dieringer
F1 World Championship,Dan Gurney
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Richard Petty
NASCAR Grand National,Fred Lorenzen
NASCAR Grand National,Marvin Panch
Jo Bonnier,Graham Hill
South African Drivers Championship,John Love
NASCAR Grand National,Ned Jarrett
F1 World Championship,Graham Hill
USAC National Championship,Parnelli Jones
NASCAR Grand National,Fred Lorenzen
USAC National Championship,AJ Foyt jr
Autocar British F2 Championship,Jackie Stewart
NASCAR Grand National,Ned Jarrett
South African Drivers Championship,Trevor Blokdyk
Autocar British F2 Championship,Jack Brabham
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Cotton Owens
NASCAR Grand National,David Pearson
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Buck Baker
F1 World Championship,John Surtees
International Championship of Makes,Graham Hill
F1 World Championship,Lorenzo Bandini
USAC National Championship,Parnelli Jones
NASCAR Grand National,Junior Johnson
South African Drivers Championship,Trevor Blokdyk
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Junior Johnson
NASCAR Grand National,David Pearson
Non-championship,Jo Siffert
NASCAR Grand National,Richard Petty
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,David Pearson
Autocar British F2 Championship,Jim Clark
F1 World Championship,John Surtees
NASCAR Grand National,Richard Petty
South African Drivers Championship,Peter de Klerk
Ned Jarrett,Fred Lorenzen
Non-championship,John Love
NASCAR Grand National,David Pearson
USAC National Championship,AJ Foyt jr
Non-championship,Jim Clark
NASCAR Grand National,Billy Wade
NASCAR Grand National,Billy Wade
South African Drivers Championship,John Love
NASCAR Grand National,Billy Wade
F1 World Championship,Jim Clark
NASCAR Grand National,Billy Wade
NASCAR Grand National,Ned Jarrett
Jo Bonnier,Graham Hill
NASCAR Grand National,AJ Foyt jr
F1 World Championship,Dan Gurney
NASCAR Grand National,Richard Petty
NASCAR Grand National,Buck Baker
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Ned Jarrett
Jean Guichet,Nino Vaccarella
South African Drivers Championship,John Love
NASCAR Grand National,David Pearson
F1 World Championship,Jim Clark
NASCAR Grand National,Richard Petty
Non-championship,Peter de Klerk
NASCAR Grand National,Richard Petty
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Ned Jarrett
South African Drivers Championship,Peter de Klerk
Ludovico Scarfiotti,Nino Vaccarella
NASCAR Grand National,Ned Jarrett
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Lee Roy Yarbrough
F1 World Championship,Jim Clark
NASCAR Grand National,Jim Paschal
Autocar British F2 Championship,Jochen Rindt
International Championship of Makes,Michael Parkes
NASCAR Grand National,Richard Petty
Autocar British F2 Championship,Jim Clark
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Ned Jarrett
F1 World Championship,Graham Hill
NASCAR Grand National,Fred Lorenzen
Non-championship,Peter de Klerk
Non-championship,Jack Brabham
NASCAR Grand National,Lee Roy Yarbrough
Colin Davis,Antonio Pucci
NASCAR Grand National,Fred Lorenzen
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Fred Lorenzen
Non-championship,Jack Brabham
Autocar British F2 Championship,Mike Spence
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Ned Jarrett
Non-championship,John Surtees
NASCAR Grand National,David Pearson
NASCAR Grand National,Marvin Panch
NASCAR Grand National,Fred Lorenzen
NASCAR Grand National,Marvin Panch
South African Drivers Championship,John Love
Non-championship,Jim Clark
NASCAR Grand National,David Pearson
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Fred Lorenzen
Umberto Maglioli,Michael Parkes
Non-championship,Innes Ireland
NASCAR Grand National,David Pearson
Temporada F2 Championship,Silvio Moser
Tasman Cup,Graham Hill
Temporada F2 Championship,Silvio Moser
South African Drivers Championship,Clive Puzey
NASCAR Grand National,Richard Petty
Tasman Cup,Jack Brabham
Temporada F2 Championship,Silvio Moser
NASCAR Grand National,Junior Johnson
NASCAR Grand National,Bobby Isaac
Phil Hill,Pedro Rodriguez
Tasman Cup,Jack Brabham
Temporada F2 Championship,Silvio Moser
Tasman Cup,Jack Brabham
Tasman Cup,Bruce McLaren
NASCAR Grand National,Dan Gurney
Tasman Cup,Bruce McLaren
Tasman Cup,Bruce McLaren
Tasman Cup,Denny Hulme
Non-championship,John Love
NASCAR Grand National,Richard Petty
F1 World Championship,Jim Clark
South African Drivers Championship,John Surtees
NASCAR Grand National,Wendell Scott
Non-championship,John Love
USAC National Championship,Rodger Ward
Non-championship,Dodgie Laurel
NASCAR Grand National,Fireball Roberts
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Darel Dieringer
F1 World Championship,Jim Clark
USAC National Championship,Rodger Ward
NASCAR Grand National,Joe Weatherly
Non-championship,Peter de Klerk
NASCAR Grand National,Richard Petty
NASCAR Grand National,Junior Johnson
South African Drivers Championship,Neville Lederle
F1 World Championship,Graham Hill
NASCAR Grand National,Richard Petty
NASCAR Grand National,Marvin Panch
NASCAR Grand National,Ned Jarrett
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Fred Lorenzen
Non-championship,Jim Clark
South African Drivers Championship,Neville Lederle
USAC National Championship,Rodger Ward
F1 World Championship,Jim Clark
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Junior Johnson
USAC National Championship,AJ Foyt jr
NASCAR Grand National,Fireball Roberts
Non-championship,Jack Brabham
USAC National Championship,Jim Clark
Non-championship,John Surtees
NASCAR Grand National,Fred Lorenzen
USAC National Championship,Rodger Ward
NASCAR Grand National,Junior Johnson
NASCAR Grand National,Ned Jarrett
Non-championship,Jim Clark
NASCAR Grand National,Fred Lorenzen
NASCAR Grand National,Richard Petty
F1 World Championship,John Surtees
NASCAR Grand National,Jim Paschal
South African Drivers Championship,Neville Lederle
NASCAR Grand National,Richard Petty
USAC National Championship,AJ Foyt jr
Non-championship,Jack Brabham
NASCAR Grand National,Fred Lorenzen
NASCAR Grand National,Richard Petty
Non-championship,Peter de Klerk
F1 World Championship,Jim Clark
NASCAR Grand National,Fireball Roberts
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Glen Wood
NASCAR Grand National,Jim Pardue
NASCAR Grand National,Ned Jarrett
South African Drivers Championship,Neville Lederle
NASCAR Grand National,Ned Jarrett
NASCAR Grand National,Fireball Roberts
F1 World Championship,Jim Clark
NASCAR Grand National,Junior Johnson
